lets begin the scrum meeting,zaczynajmy scrum spotkanie
execute or run,wykonac uruchomic
encounter,spotkanie lub napotkac lub miec utarczke
restore,przywracac
relevant,istotny
referrals,odniesienia
relative,wzgledny
record of all students,zapis rejestr wszystkich studentow
returns formula of appropriate class object,zwraca formule wlasciwej klasy obiektu
brackets,nawiasy
briefly describe,krótko opisz
bear in mind this is not showing who initiates these actions,miej na uwadze ze to nie pokazuje kto zaczyna te akcje
java equivalent,odpowiednik w javie
quote,cytowac cytat
amend,modyfikowac
array,szyk ustawiac
assignment,zadanie
according to,wedlug
at first glance,na pierwszy rzut oka
ambiguity,dwuznacznosc
approach,podejscie
asks user for attributes values,popros uzytkownika o wartosci dla atrybutow
all java code resides inside a class,caly kod javy miesci sie wewnatrz klasy
peculiar,szczegolny
preceding,poprzedzajacy
parenthesis,nawias okragly
prints menu with possible actions,wyswietla menu z mozliwymi akcjami
trial,proba probny
to specify,sprecyzowac okreslic
thus,zatem a zatem
this approach is sometimes considered preferable,to podejscie jest czasem uwazane za lepsze preferowane
this class inherits from the ui class all methods responsible for displaying our program on the screen it also contains possible actions and  headers needed to display the proper menu in this case employee menu,ta klasa dziedziczy z ui klasy wszystkie metody odpowiedzialne za wyswietlanie naszego programu na wyswietlaczu to rowniez zawiera mozliwe akcje i naglowki potrzebne by prawidlowo wyswietlic menu w tym przypadku menu pracownika
this is what i have done since we last met,to jest to co zrobilem odkad ostatnio sie spotkalismy
these are obstacles i have encountered,to są przeszkody ktore napotkalem
this is what i plan to do today,to jest to co planuje zrobic dzisiaj
this is in keeping with the rule that says ev in java m h a t,jest to zgodne z regula ktora mowi ze wszystko w j m miec typ
the list goes on and on,lista ciagnie sie i ciagnie
we may have written a function,moglibysmy napisac funkcje
we can create a class which serves as a template for suitable objects,mozemy stworzyc klase ktora sluzy jako szablon dla odpowiednich obiektow
what went right what went wrong,co poszlo dobrze co poszlo zle
what can we impove the next time around,co mozemy udoskonalic nastepnym razem
meant to - this class is meant to hold objects,ma za zadanie - ta klasa ma za zadanie przechowywac objekty
overlap,zakladka nakladac sie
obtain,uzyskac
override(implement)-other methods inherited from the parent class,nadpisz wprowadz w zycie
implement,wypelnic kodem npfunkcje
iterate - I iterated over all the values in the array,iterowac
imply - the term implies,sugerowac - to pojecie sugeruje
it serves the same purpose as none in python,to sluzy w tym samym celu co none w pythonie
difference,roznica
data structure - Arrays are one kind of data structure,typ danych
different properties,rozne wlasciwosci
directly,bezposrednio
decouple,oddzielac
design patterns show us how to structure our code that it is more clean,wzorce projektowe pokazuja nam jak porjektowac nasz kod by byl bardziej czysty
defines an empty list to store data from the file,definiuje pusta liste by przechowywac dane z pliku
you can assume that,mozesz zalozyc ze
you update the plan as you go,aktualizujesz plan na biezaco
you set some priorities,ustawiasz jakies priorytety
you size things up,mierzysz rzeczy
gather up,gromadzi się
get an info which shape he would like to use in a function prints its name and returns it,pobiera info jaki ksztalt chcialby uzyc w funkcji pokazuje jego imie i zwraca je
fulfil-which the objects fulfil,spełniać pelnic realizowac - jakie te obiekty spelniaja
sensible order,sensowny rozsadny porzadek
suitable,odpowiedni
straightforward way,bezposredni sposob
current,obecny
call or invoke,wywolywac
comment out,wykomentowac
cease to exit,przejsc do wyjscia wstrzymac
can vary,moze zmieniac sie
checks whether requested file exists if so imports it,sprawdza czy zadany plik istnieje jesli tak importuje go
curly braces,nawiasy javowe
nested function,zagniezdzona funkcja funkcja w funkcji
ultimately,ostatecznie
unlike python,w przeciwienstwie do pythona
